sales_id,product_id,customer_id,user_id,quantity_sold,unit_price,total_amount,sale_date,payment_method
37,15,879,5,1,104,104,10/22/2025,Credit Card
38,49,879,5,2,123,246,10/22/2025,Debit Card
39,15,978,5,1,58,58,10/10/2025,PayPal
40,29,978,5,1,42,42,10/10/2025,PayPal
41,27,978,5,2,104,208,10/10/2025,Debit Card
42,33,978,5,2,126,252,10/10/2025,Credit Card
43,31,263,1,3,55,165,10/10/2025,Credit Card
44,17,263,1,1,112,112,10/10/2025,Debit Card
45,10,263,1,2,147,294,10/10/2025,PayPal
46,27,664,1,3,64,192,10/8/2025,Debit Card
47,45,664,1,2,126,252,10/8/2025,PayPal
48,23,664,1,3,117,351,10/8/2025,PayPal
49,13,664,1,3,96,288,10/8/2025,Debit Card
50,49,448,4,3,115,345,10/20/2025,PayPal
51,11,448,4,2,48,96,10/20/2025,Credit Card
52,26,448,4,3,120,360,10/20/2025,Credit Card
53,40,448,4,1,122,122,10/20/2025,Credit Card
54,50,222,2,2,106,212,10/29/2025,Credit Card
55,39,768,2,1,91,91,10/20/2025,Credit Card
56,30,768,2,1,141,141,10/20/2025,Debit Card
57,8,768,2,2,135,270,10/20/2025,Debit Card
58,15,768,2,1,24,24,10/20/2025,PayPal
59,23,610,2,1,81,81,10/1/2025,Debit Card
60,45,610,2,2,96,192,10/1/2025,Credit Card
61,41,841,1,1,66,66,10/12/2025,Credit Card
62,41,841,1,1,22,22,10/12/2025,PayPal
63,30,841,1,3,112,336,10/12/2025,Debit Card
64,6,841,1,1,39,39,10/12/2025,Debit Card
65,24,1015,2,1,106,106,10/3/2025,PayPal
66,20,1015,2,2,125,250,10/3/2025,Debit Card
67,37,1015,2,2,31,62,10/3/2025,PayPal
68,49,9,4,1,113,113,10/17/2025,Credit Card
69,43,9,4,3,116,348,10/17/2025,Credit Card
70,47,9,4,3,91,273,10/17/2025,PayPal
71,8,9,4,3,113,339,10/17/2025,PayPal
72,23,846,1,3,52,156,10/5/2025,Debit Card
73,32,846,1,1,81,81,10/5/2025,Credit Card
74,38,1035,2,2,65,130,10/20/2025,PayPal
75,45,1065,3,3,117,351,10/6/2025,PayPal
76,42,419,1,3,45,135,10/29/2025,Credit Card
77,37,419,1,3,109,327,10/29/2025,PayPal
78,37,419,1,1,100,100,10/29/2025,PayPal
79,26,791,2,2,67,134,10/21/2025,PayPal
80,22,791,2,2,107,214,10/21/2025,Credit Card
81,37,791,2,2,34,68,10/21/2025,Debit Card
82,12,713,5,1,28,28,10/2/2025,PayPal
83,16,713,5,3,81,243,10/2/2025,PayPal
84,16,380,4,1,57,57,10/21/2025,PayPal
85,23,297,2,2,148,296,10/5/2025,Debit Card
86,45,297,2,1,74,74,10/5/2025,PayPal
87,27,115,4,2,61,122,10/15/2025,Debit Card
88,45,115,4,1,39,39,10/15/2025,Credit Card
89,19,841,2,3,71,213,10/8/2025,PayPal
90,18,841,2,2,26,52,10/8/2025,Credit Card
91,19,841,2,3,117,351,10/8/2025,Credit Card
92,35,196,1,1,119,119,10/26/2025,PayPal
93,43,196,1,1,96,96,10/26/2025,Credit Card
94,43,196,1,3,92,276,10/26/2025,Debit Card
95,27,196,1,1,110,110,10/26/2025,PayPal
96,34,1090,4,2,52,104,10/8/2025,Credit Card
97,35,1090,4,2,132,264,10/8/2025,PayPal
98,8,1040,1,2,119,238,10/19/2025,PayPal
99,29,1040,1,1,88,88,10/19/2025,Debit Card
100,16,146,2,2,142,284,10/12/2025,Debit Card
101,1,146,2,1,125,125,10/12/2025,Credit Card
102,46,742,3,2,68,136,10/4/2025,PayPal
103,47,742,3,1,30,30,10/4/2025,PayPal
104,5,351,5,2,56,112,10/12/2025,PayPal
105,20,351,5,3,137,411,10/12/2025,Credit Card
106,38,351,5,2,51,102,10/12/2025,Debit Card
107,33,1103,1,1,115,115,10/24/2025,Debit Card
108,42,1103,1,1,87,87,10/24/2025,Debit Card
109,39,1103,1,1,64,64,10/24/2025,PayPal
110,23,669,5,3,87,261,10/11/2025,Debit Card
111,24,669,5,1,83,83,10/11/2025,Credit Card
112,49,669,5,1,83,83,10/11/2025,PayPal
113,38,304,3,3,101,303,10/1/2025,PayPal
114,17,304,3,1,51,51,10/1/2025,Debit Card
115,19,304,3,2,21,42,10/1/2025,PayPal
116,11,304,3,1,65,65,10/1/2025,Debit Card
117,21,827,4,3,130,390,10/8/2025,Credit Card
118,17,827,4,2,40,80,10/8/2025,PayPal
119,48,991,5,3,110,330,10/14/2025,Debit Card
120,14,991,5,2,46,92,10/14/2025,Credit Card
121,13,171,2,1,105,105,10/24/2025,PayPal
122,50,1116,2,3,72,216,10/8/2025,Credit Card
123,12,1116,2,1,27,27,10/8/2025,Credit Card
124,24,1116,2,2,121,242,10/8/2025,Credit Card
125,30,759,5,2,103,206,10/24/2025,PayPal
126,25,759,5,1,53,53,10/24/2025,PayPal
127,46,1072,1,3,79,237,10/3/2025,Debit Card
128,2,691,5,3,21,63,10/8/2025,Credit Card
129,12,25,3,2,142,284,10/10/2025,Debit Card
130,17,187,5,1,84,84,10/10/2025,Credit Card
131,24,389,4,2,89,178,10/10/2025,PayPal
132,10,389,4,2,141,282,10/10/2025,Debit Card
133,14,591,5,2,114,228,10/29/2025,PayPal
134,17,591,5,2,104,208,10/29/2025,PayPal
135,20,591,5,2,59,118,10/29/2025,Debit Card
136,3,591,5,1,20,20,10/29/2025,PayPal
137,21,576,4,1,59,59,10/21/2025,Debit Card
138,41,576,4,1,20,20,10/21/2025,Credit Card
139,40,576,4,2,149,298,10/21/2025,Debit Card
140,38,30,2,3,60,180,10/10/2025,Credit Card
141,42,30,2,1,35,35,10/10/2025,Debit Card
142,26,30,2,1,42,42,10/10/2025,PayPal
143,31,47,2,3,108,324,10/30/2025,Credit Card
144,28,1095,2,3,103,309,10/28/2025,PayPal
145,31,789,1,2,32,64,10/6/2025,Debit Card
146,41,789,1,2,24,48,10/6/2025,PayPal
147,2,789,1,3,24,72,10/6/2025,PayPal
148,12,789,1,1,30,30,10/6/2025,Debit Card
149,35,114,2,1,125,125,10/8/2025,PayPal
150,28,80,1,2,144,288,10/18/2025,Credit Card
151,49,80,1,1,75,75,10/18/2025,Debit Card
152,3,80,1,1,75,75,10/18/2025,PayPal
153,38,80,1,3,110,330,10/18/2025,Credit Card
154,47,1110,2,1,80,80,10/21/2025,Credit Card
155,14,1110,2,1,84,84,10/21/2025,Credit Card
156,10,1140,4,2,115,230,10/2/2025,Debit Card
157,35,1140,4,3,56,168,10/2/2025,PayPal
158,26,1140,4,1,133,133,10/2/2025,PayPal
159,30,1140,4,3,28,84,10/2/2025,Credit Card
160,37,623,5,1,122,122,10/10/2025,PayPal
161,35,623,5,1,31,31,10/10/2025,Credit Card
162,19,841,1,1,45,45,10/30/2025,PayPal
163,17,10,4,1,64,64,10/30/2025,PayPal
164,21,1193,2,1,109,109,10/3/2025,Credit Card
165,4,1193,2,2,111,222,10/3/2025,PayPal
166,19,1193,2,1,20,20,10/3/2025,Debit Card
167,49,1193,2,1,22,22,10/3/2025,Credit Card
168,36,1118,4,3,111,333,10/11/2025,Credit Card
169,33,1118,4,2,73,146,10/11/2025,Credit Card
170,6,1118,4,1,76,76,10/11/2025,Credit Card
171,14,440,5,2,40,80,10/3/2025,PayPal
172,16,440,5,2,97,194,10/3/2025,Credit Card
173,26,790,5,1,90,90,10/12/2025,Credit Card
174,46,222,1,3,97,291,10/16/2025,PayPal
175,33,222,1,3,146,438,10/16/2025,Credit Card
176,9,222,1,3,118,354,10/16/2025,PayPal
177,46,222,1,3,87,261,10/16/2025,Debit Card
178,40,921,5,2,31,62,10/10/2025,PayPal
179,5,170,2,3,95,285,10/27/2025,Credit Card
180,38,170,2,1,68,68,10/27/2025,Credit Card
181,11,170,2,3,138,414,10/27/2025,Debit Card
182,23,312,3,2,33,66,10/25/2025,PayPal
183,12,312,3,1,112,112,10/25/2025,Credit Card
184,25,312,3,1,53,53,10/25/2025,Debit Card
185,35,154,3,2,23,46,10/8/2025,Debit Card
186,5,154,3,2,128,256,10/8/2025,Debit Card
187,48,154,3,3,66,198,10/8/2025,Debit Card
188,24,154,3,1,100,100,10/8/2025,PayPal
189,20,541,4,3,116,348,10/26/2025,PayPal
190,23,541,4,1,134,134,10/26/2025,PayPal
191,15,541,4,1,118,118,10/26/2025,PayPal
192,8,541,4,2,24,48,10/26/2025,Debit Card
193,25,843,3,2,92,184,10/6/2025,Debit Card
194,34,300,3,2,101,202,10/13/2025,PayPal
195,23,790,3,1,124,124,10/23/2025,Credit Card
196,2,101,5,2,78,156,10/26/2025,Credit Card
197,33,101,5,1,30,30,10/26/2025,Debit Card
198,33,101,5,3,96,288,10/26/2025,Debit Card
199,22,101,5,1,145,145,10/26/2025,PayPal
200,41,598,3,3,57,171,10/24/2025,Credit Card
201,30,598,3,3,147,441,10/24/2025,Debit Card
202,38,598,3,3,113,339,10/24/2025,Debit Card
203,10,598,3,1,53,53,10/24/2025,PayPal
204,34,1000,3,1,125,125,10/2/2025,Credit Card
205,7,1000,3,3,57,171,10/2/2025,PayPal
206,49,1000,3,2,103,206,10/2/2025,Credit Card
207,46,1000,3,1,87,87,10/2/2025,Credit Card
208,16,997,5,3,56,168,10/1/2025,Debit Card
209,23,997,5,2,89,178,10/1/2025,PayPal
210,49,997,5,3,46,138,10/1/2025,Debit Card
211,3,841,3,3,44,132,10/8/2025,Debit Card
212,40,841,3,1,70,70,10/8/2025,Debit Card
213,28,835,5,2,111,222,10/6/2025,Credit Card
214,43,835,5,2,83,166,10/6/2025,Debit Card
215,19,192,3,3,105,315,10/30/2025,Credit Card
216,45,787,3,1,81,81,10/21/2025,Credit Card
217,36,787,3,3,34,102,10/21/2025,Credit Card
218,20,787,3,2,90,180,10/21/2025,Credit Card
219,14,270,1,2,111,222,10/30/2025,Debit Card
220,9,270,1,1,112,112,10/30/2025,PayPal
221,17,270,1,1,58,58,10/30/2025,PayPal
222,42,862,3,3,141,423,10/7/2025,PayPal
223,9,763,1,2,21,42,10/29/2025,PayPal
224,3,763,1,2,128,256,10/29/2025,Debit Card
225,26,763,1,3,37,111,10/29/2025,Credit Card
226,26,586,1,1,68,68,10/6/2025,Debit Card
227,6,343,3,1,111,111,10/10/2025,Debit Card
228,15,343,3,3,69,207,10/10/2025,PayPal
229,14,343,3,3,29,87,10/10/2025,PayPal
230,17,668,3,3,125,375,10/6/2025,PayPal
231,48,668,3,2,45,90,10/6/2025,PayPal
232,21,461,1,3,61,183,10/20/2025,Debit Card
233,27,245,2,2,58,116,10/10/2025,Credit Card
234,34,245,2,2,112,224,10/10/2025,Debit Card
235,18,829,5,3,110,330,10/23/2025,Credit Card
236,3,829,5,1,84,84,10/23/2025,PayPal
237,19,829,5,3,66,198,10/23/2025,Debit Card
238,42,673,4,2,84,168,10/22/2025,Debit Card
239,17,673,4,1,106,106,10/22/2025,Debit Card
240,24,141,3,2,54,108,10/5/2025,Credit Card
241,3,141,3,2,92,184,10/5/2025,Credit Card
242,48,141,3,1,39,39,10/5/2025,Debit Card
243,34,141,3,2,62,124,10/5/2025,PayPal
244,5,1068,5,1,110,110,10/12/2025,Credit Card
245,40,1068,5,2,77,154,10/12/2025,PayPal
246,40,1068,5,2,49,98,10/12/2025,Credit Card
247,44,1068,5,3,150,450,10/12/2025,Credit Card
248,27,105,4,3,96,288,10/13/2025,PayPal
249,16,105,4,2,138,276,10/13/2025,Credit Card
250,9,105,4,2,108,216,10/13/2025,Debit Card
251,39,105,4,1,110,110,10/13/2025,Debit Card
252,23,564,2,2,147,294,10/6/2025,Credit Card
253,37,564,2,1,22,22,10/6/2025,Credit Card
254,24,564,2,2,103,206,10/6/2025,Debit Card
255,23,30,3,1,32,32,10/17/2025,PayPal
256,28,30,3,1,117,117,10/17/2025,PayPal
257,26,134,2,2,104,208,10/9/2025,PayPal
258,19,134,2,2,97,194,10/9/2025,Debit Card
259,15,869,5,1,89,89,10/2/2025,Debit Card
260,5,869,5,1,52,52,10/2/2025,Credit Card
261,3,869,5,3,147,441,10/2/2025,Debit Card
262,47,869,5,2,108,216,10/2/2025,Credit Card
263,37,1124,5,3,42,126,10/25/2025,Credit Card
264,27,1124,5,1,37,37,10/25/2025,Credit Card
265,43,1124,5,1,107,107,10/25/2025,PayPal
266,31,1124,5,1,149,149,10/25/2025,PayPal
267,42,2,2,1,89,89,10/1/2025,Credit Card
268,16,2,2,1,124,124,10/1/2025,PayPal
269,45,895,3,3,80,240,10/7/2025,PayPal
270,42,669,4,2,101,202,10/16/2025,Debit Card
271,8,669,4,3,108,324,10/16/2025,Credit Card
272,12,78,5,1,112,112,10/16/2025,PayPal
273,41,189,3,3,46,138,10/19/2025,PayPal
274,33,189,3,2,30,60,10/19/2025,PayPal
275,13,747,2,3,118,354,10/23/2025,Debit Card
276,34,747,2,3,31,93,10/23/2025,Credit Card
277,30,747,2,3,74,222,10/23/2025,Debit Card
278,50,747,2,2,92,184,10/23/2025,PayPal
279,45,95,3,2,104,208,10/17/2025,PayPal
280,27,95,3,2,29,58,10/17/2025,Debit Card
281,35,711,1,1,108,108,10/17/2025,Debit Card
282,33,711,1,1,80,80,10/17/2025,PayPal
283,5,84,4,3,113,339,10/17/2025,Debit Card
284,24,777,1,2,62,124,10/17/2025,Debit Card
285,33,777,1,3,143,429,10/17/2025,Credit Card
286,3,777,1,1,136,136,10/17/2025,Debit Card
287,39,452,5,1,25,25,10/13/2025,Credit Card
288,44,376,2,1,95,95,10/21/2025,Debit Card
289,27,376,2,2,82,164,10/21/2025,Debit Card
290,9,425,5,3,44,132,10/31/2025,PayPal
291,5,425,5,3,120,360,10/31/2025,Debit Card
292,6,425,5,1,121,121,10/31/2025,Credit Card
293,1,728,4,3,132,396,10/16/2025,Debit Card
294,45,728,4,1,134,134,10/16/2025,Credit Card
295,39,728,4,2,119,238,10/16/2025,Credit Card
296,38,287,5,3,28,84,10/14/2025,PayPal
297,25,287,5,1,92,92,10/14/2025,PayPal
298,8,1110,5,3,55,165,11/9/2025,PayPal
299,9,1110,5,1,69,69,11/9/2025,Debit Card
300,37,1110,5,3,60,180,11/9/2025,Credit Card
301,46,430,5,3,134,402,11/12/2025,Credit Card
302,41,430,5,1,50,50,11/12/2025,Debit Card
303,38,430,5,2,85,170,11/12/2025,PayPal
304,47,430,5,1,58,58,11/12/2025,Debit Card
305,7,47,5,1,38,38,11/25/2025,PayPal
306,38,47,5,1,93,93,11/25/2025,PayPal
307,21,469,4,1,141,141,11/17/2025,Credit Card
308,37,469,4,3,99,297,11/17/2025,Debit Card
309,38,279,3,2,126,252,11/5/2025,PayPal
310,38,279,3,2,140,280,11/5/2025,Credit Card
311,14,279,3,3,144,432,11/5/2025,PayPal
312,31,279,3,3,115,345,11/5/2025,Credit Card
313,46,986,3,2,137,274,11/15/2025,Debit Card
314,39,986,3,3,46,138,11/15/2025,Credit Card
315,15,986,3,3,68,204,11/15/2025,PayPal
316,24,222,4,2,116,232,11/12/2025,Debit Card
317,9,222,4,1,111,111,11/12/2025,PayPal
318,41,222,4,3,62,186,11/12/2025,PayPal
319,22,775,1,2,146,292,11/12/2025,PayPal
320,22,775,1,3,60,180,11/12/2025,PayPal
321,2,75,2,2,130,260,11/23/2025,Debit Card
322,4,75,2,3,69,207,11/23/2025,Credit Card
323,42,278,3,2,34,68,11/6/2025,Credit Card
324,7,278,3,2,150,300,11/6/2025,Debit Card
325,30,775,4,1,129,129,11/7/2025,PayPal
326,30,775,4,2,106,212,11/7/2025,Credit Card
327,26,536,1,1,150,150,11/14/2025,Debit Card
328,33,536,1,3,85,255,11/14/2025,Credit Card
329,44,29,3,3,25,75,11/23/2025,Credit Card
330,44,29,3,1,86,86,11/23/2025,Credit Card
331,28,179,5,3,114,342,11/13/2025,Debit Card
332,13,179,5,2,89,178,11/13/2025,PayPal
333,10,179,5,3,86,258,11/13/2025,Debit Card
334,18,179,5,2,67,134,11/13/2025,Debit Card
335,26,732,2,1,132,132,11/27/2025,Debit Card
336,38,732,2,2,91,182,11/27/2025,Debit Card
337,23,732,2,1,127,127,11/27/2025,Credit Card
338,16,732,2,3,61,183,11/27/2025,Debit Card
339,15,190,1,3,130,390,11/15/2025,PayPal
340,19,12,5,3,39,117,11/21/2025,Credit Card
341,40,1177,1,3,85,255,11/30/2025,Debit Card
342,28,1177,1,2,71,142,11/30/2025,Debit Card
343,16,1177,1,1,59,59,11/30/2025,Credit Card
344,31,1177,1,3,106,318,11/30/2025,Credit Card
345,31,822,5,2,58,116,11/4/2025,PayPal
346,13,822,5,2,111,222,11/4/2025,PayPal
347,35,822,5,3,119,357,11/4/2025,Debit Card
348,5,822,5,3,129,387,11/4/2025,Debit Card
349,39,584,5,2,78,156,11/11/2025,Credit Card
350,21,16,2,3,57,171,11/10/2025,PayPal
351,2,1027,2,2,57,114,11/17/2025,Debit Card
352,30,1027,2,2,107,214,11/17/2025,PayPal
353,40,1027,2,1,104,104,11/17/2025,PayPal
354,32,166,5,3,65,195,11/21/2025,PayPal
355,15,135,2,3,70,210,11/6/2025,PayPal
356,45,135,2,3,53,159,11/6/2025,Credit Card
357,41,558,5,1,104,104,11/29/2025,Credit Card
358,18,558,5,1,63,63,11/29/2025,Debit Card
359,14,558,5,3,98,294,11/29/2025,Debit Card
360,19,558,5,1,83,83,11/29/2025,PayPal
361,1,544,4,3,75,225,11/13/2025,PayPal
362,11,544,4,1,98,98,11/13/2025,PayPal
363,50,89,5,3,55,165,11/10/2025,Debit Card
364,18,89,5,2,44,88,11/10/2025,PayPal
365,35,89,5,3,55,165,11/10/2025,Debit Card
366,13,89,5,1,57,57,11/10/2025,Credit Card
367,19,776,1,1,24,24,11/29/2025,PayPal
368,30,776,1,3,21,63,11/29/2025,PayPal
369,10,46,4,3,92,276,11/26/2025,Credit Card
370,13,46,4,1,59,59,11/26/2025,PayPal
371,41,1017,4,1,124,124,11/29/2025,PayPal
372,15,1017,4,2,90,180,11/29/2025,Credit Card
373,34,1017,4,1,95,95,11/29/2025,Debit Card
374,4,774,1,3,147,441,11/2/2025,PayPal
375,3,1035,3,1,51,51,11/24/2025,Debit Card
376,21,1035,3,3,73,219,11/24/2025,Debit Card
377,15,1035,3,2,64,128,11/24/2025,Credit Card
378,45,51,1,2,83,166,11/21/2025,Credit Card
379,38,142,5,1,87,87,11/14/2025,Debit Card
380,16,936,4,1,36,36,11/1/2025,Debit Card
381,32,749,5,1,52,52,11/17/2025,Credit Card
382,48,749,5,2,44,88,11/17/2025,Debit Card
383,27,749,5,3,117,351,11/17/2025,PayPal
384,13,504,2,1,98,98,11/16/2025,Credit Card
385,45,504,2,3,23,69,11/16/2025,Debit Card
386,39,504,2,3,95,285,11/16/2025,Debit Card
387,14,425,3,3,74,222,11/2/2025,Credit Card
388,7,425,3,2,44,88,11/2/2025,Debit Card
389,19,425,3,2,90,180,11/2/2025,PayPal
390,19,425,3,2,97,194,11/2/2025,Debit Card
391,6,81,3,1,59,59,11/21/2025,Credit Card
392,14,81,3,1,124,124,11/21/2025,Credit Card
393,8,81,3,3,69,207,11/21/2025,Credit Card
394,40,81,3,3,104,312,11/21/2025,Debit Card
395,3,734,1,3,55,165,11/12/2025,Credit Card
396,43,494,1,3,26,78,11/26/2025,PayPal
397,49,494,1,3,137,411,11/26/2025,Debit Card
398,27,196,1,1,145,145,11/16/2025,Credit Card
399,1,196,1,2,81,162,11/16/2025,Credit Card
400,14,1123,3,3,93,279,11/27/2025,PayPal
401,19,1123,3,3,93,279,11/27/2025,Debit Card
402,20,1123,3,3,56,168,11/27/2025,Debit Card
403,35,749,5,1,89,89,11/6/2025,Credit Card
404,45,749,5,3,144,432,11/6/2025,PayPal
405,23,749,5,1,145,145,11/6/2025,PayPal
406,34,749,5,1,77,77,11/6/2025,PayPal
407,33,475,5,3,85,255,11/18/2025,Credit Card
408,4,848,3,3,105,315,11/17/2025,Credit Card
409,8,680,1,1,86,86,11/17/2025,PayPal
410,23,174,4,3,30,90,11/7/2025,PayPal
411,5,808,3,1,125,125,11/9/2025,Credit Card
412,2,808,3,1,45,45,11/9/2025,Credit Card
413,43,808,3,3,130,390,11/9/2025,PayPal
414,23,808,3,1,146,146,11/9/2025,Debit Card
415,29,676,3,3,49,147,11/27/2025,PayPal
416,45,676,3,3,32,96,11/27/2025,Credit Card
417,33,676,3,2,31,62,11/27/2025,PayPal
418,13,830,5,3,22,66,11/6/2025,PayPal
419,26,703,2,2,91,182,11/23/2025,Credit Card
420,35,703,2,2,69,138,11/23/2025,Debit Card
421,9,703,2,1,48,48,11/23/2025,Debit Card
422,47,703,2,2,35,70,11/23/2025,Credit Card
423,40,1154,1,3,89,267,11/26/2025,PayPal
424,19,1154,1,3,97,291,11/26/2025,PayPal
425,1,875,5,1,97,97,11/23/2025,Debit Card
426,15,875,5,2,45,90,11/23/2025,Debit Card
427,33,875,5,2,23,46,11/23/2025,Credit Card
428,13,526,2,1,108,108,11/29/2025,PayPal
429,30,526,2,1,120,120,11/29/2025,PayPal
430,44,456,5,2,124,248,11/16/2025,Debit Card
431,27,456,5,1,38,38,11/16/2025,Credit Card
432,12,215,3,1,136,136,11/4/2025,PayPal
433,11,215,3,1,44,44,11/4/2025,PayPal
434,35,215,3,3,98,294,11/4/2025,PayPal
435,47,480,4,2,136,272,11/4/2025,Credit Card
436,27,199,5,3,79,237,11/29/2025,PayPal
437,46,199,5,1,37,37,11/29/2025,Credit Card
438,48,199,5,3,137,411,11/29/2025,Debit Card
439,10,238,1,1,60,60,11/18/2025,Credit Card
440,45,763,1,2,103,206,11/15/2025,PayPal
441,36,763,1,1,150,150,11/15/2025,Credit Card
442,37,706,2,2,136,272,11/11/2025,PayPal
443,12,715,1,1,69,69,11/7/2025,PayPal
444,46,715,1,1,146,146,11/7/2025,Credit Card
445,30,715,1,3,107,321,11/7/2025,Debit Card
446,14,715,1,1,65,65,11/7/2025,Credit Card
447,45,598,3,3,85,255,11/13/2025,PayPal
448,50,598,3,1,102,102,11/13/2025,Credit Card
449,2,598,3,3,113,339,11/13/2025,PayPal
450,22,598,3,3,29,87,11/13/2025,Debit Card
451,31,13,2,2,93,186,11/23/2025,Debit Card
452,11,13,2,1,144,144,11/23/2025,Credit Card
453,33,13,2,2,143,286,11/23/2025,Debit Card
454,3,13,2,2,91,182,11/23/2025,Debit Card
455,14,902,2,3,86,258,11/9/2025,Debit Card
456,33,31,4,3,89,267,11/15/2025,PayPal
457,44,31,4,3,38,114,11/15/2025,Debit Card
458,10,31,4,1,107,107,11/15/2025,PayPal
459,36,31,4,1,143,143,11/15/2025,Credit Card
460,21,574,2,3,138,414,11/7/2025,Credit Card
461,6,81,5,3,34,102,11/9/2025,PayPal
462,2,81,5,1,124,124,11/9/2025,Credit Card
463,32,387,5,1,72,72,11/29/2025,PayPal
464,16,387,5,2,22,44,11/29/2025,PayPal
465,36,387,5,3,24,72,11/29/2025,PayPal
466,42,387,5,3,41,123,11/29/2025,PayPal
467,12,911,5,3,39,117,11/26/2025,PayPal
468,15,911,5,2,142,284,11/26/2025,Debit Card
469,16,911,5,2,57,114,11/26/2025,PayPal
470,17,911,5,3,136,408,11/26/2025,Credit Card
471,23,422,3,1,32,32,11/29/2025,Debit Card
472,21,464,1,1,68,68,11/7/2025,Debit Card
473,45,464,1,2,105,210,11/7/2025,PayPal
474,26,464,1,1,77,77,11/7/2025,Debit Card
475,16,573,5,1,142,142,11/6/2025,Debit Card
476,26,938,2,1,147,147,11/27/2025,PayPal
477,17,283,2,2,95,190,11/12/2025,Credit Card
478,34,283,2,1,83,83,11/12/2025,Debit Card
479,30,748,2,3,135,405,11/15/2025,Debit Card
480,42,748,2,1,59,59,11/15/2025,Credit Card
481,38,748,2,2,59,118,11/15/2025,PayPal
482,40,748,2,2,42,84,11/15/2025,PayPal
483,49,193,4,1,90,90,11/16/2025,Debit Card
484,43,193,4,3,106,318,11/16/2025,Credit Card
485,38,1098,1,2,114,228,11/14/2025,Credit Card
486,19,749,5,1,128,128,11/9/2025,Credit Card
487,21,504,2,3,34,102,11/16/2025,Credit Card
488,39,504,2,3,42,126,11/16/2025,Debit Card
489,42,504,2,1,103,103,11/16/2025,Debit Card
490,19,379,3,1,141,141,11/17/2025,Credit Card
491,23,379,3,2,95,190,11/17/2025,PayPal
492,41,379,3,2,141,282,11/17/2025,PayPal
493,7,379,3,2,96,192,11/17/2025,Debit Card
494,28,943,5,2,129,258,11/11/2025,Debit Card
495,26,943,5,1,91,91,11/11/2025,PayPal
496,20,943,5,1,44,44,11/11/2025,Debit Card
497,19,943,5,3,137,411,11/11/2025,Debit Card
498,40,921,2,2,76,152,11/30/2025,Credit Card
499,30,921,2,2,87,174,11/30/2025,Debit Card
500,26,921,2,2,104,208,11/30/2025,Debit Card
501,34,921,2,3,139,417,11/30/2025,Debit Card
502,23,970,5,2,114,228,11/14/2025,Credit Card
503,12,970,5,2,29,58,11/14/2025,Credit Card
504,33,970,5,2,83,166,11/14/2025,Debit Card
505,49,562,4,3,132,396,11/16/2025,Credit Card
506,37,562,4,2,121,242,11/16/2025,PayPal
507,41,673,1,2,59,118,11/12/2025,PayPal
508,23,673,1,2,145,290,11/12/2025,Debit Card
509,35,673,1,1,68,68,11/12/2025,Credit Card
510,8,673,1,3,69,207,11/12/2025,Debit Card
511,32,548,4,3,39,117,11/12/2025,Debit Card
512,42,548,4,3,43,129,11/12/2025,Credit Card
513,37,911,1,1,64,64,11/11/2025,PayPal
514,48,911,1,3,54,162,11/11/2025,PayPal
515,12,911,1,3,94,282,11/11/2025,Credit Card
516,16,911,1,2,22,44,11/11/2025,Debit Card
517,50,112,2,3,66,198,11/28/2025,Credit Card
518,48,112,2,3,71,213,11/28/2025,PayPal
519,38,112,2,3,20,60,11/28/2025,Credit Card
