product_id,category_id,supplier_id,product_name,sku,size,color,unit_price,stock_quantity,reorder_level,created_at
229,6,2,Jeans,GIQ-0229,M,Blood Red,39.67,180,25,2024-05-08 00:00:00
230,6,4,Jeans,GIQ-0230,M,Dark Blue,128.91,34,19,2024-02-12 00:00:00
231,6,5,Jeans,GIQ-0231,M,Dark Brown,133.49,169,31,2023-01-04 00:00:00
232,6,1,Jeans,GIQ-0232,M,Sand,76.38,191,26,2023-03-04 00:00:00
233,6,3,Jeans,GIQ-0233,L,Black,97.25,140,14,2024-03-27 00:00:00
234,6,1,Jeans,GIQ-0234,L,White,148.52,178,26,2024-02-11 00:00:00
235,6,4,Jeans,GIQ-0235,L,Cream,60.93,217,23,2023-01-14 00:00:00
236,6,2,Jeans,GIQ-0236,L,Dark Green,139.1,112,13,2023-02-10 00:00:00
237,6,5,Jeans,GIQ-0237,L,Blood Red,108.11,70,31,2023-09-23 00:00:00
238,6,4,Jeans,GIQ-0238,L,Dark Blue,33.76,23,32,2024-03-30 00:00:00
239,6,4,Jeans,GIQ-0239,L,Dark Brown,124.83,246,28,2023-04-07 00:00:00
240,6,5,Jeans,GIQ-0240,L,Sand,125.15,64,27,2023-12-16 00:00:00
241,6,1,Jeans,GIQ-0241,XL,Black,65.89,167,26,2023-05-27 00:00:00
242,6,3,Jeans,GIQ-0242,XL,White,59.54,57,29,2023-01-24 00:00:00
243,6,1,Jeans,GIQ-0243,XL,Cream,138.77,120,17,2023-10-05 00:00:00
244,6,4,Jeans,GIQ-0244,XL,Dark Green,21.34,138,22,2023-01-19 00:00:00
245,6,2,Jeans,GIQ-0245,XL,Blood Red,100.87,97,19,2024-04-07 00:00:00
246,6,1,Jeans,GIQ-0246,XL,Dark Blue,40.5,143,35,2023-12-16 00:00:00
247,6,5,Jeans,GIQ-0247,XL,Dark Brown,22.29,186,10,2024-01-05 00:00:00
248,6,2,Jeans,GIQ-0248,XL,Sand,66.54,216,33,2023-06-26 00:00:00
249,6,4,Jeans,GIQ-0249,XXL,Black,69.39,198,18,2024-05-25 00:00:00
250,6,1,Jeans,GIQ-0250,XXL,White,107.21,49,31,2024-02-01 00:00:00
251,6,5,Jeans,GIQ-0251,XXL,Cream,17.32,21,15,2024-03-16 00:00:00
252,6,2,Jeans,GIQ-0252,XXL,Dark Green,77.11,119,29,2023-03-15 00:00:00
253,6,2,Jeans,GIQ-0253,XXL,Blood Red,76.01,68,23,2024-03-11 00:00:00
254,6,3,Jeans,GIQ-0254,XXL,Dark Blue,22.5,40,11,2023-11-23 00:00:00
255,6,3,Jeans,GIQ-0255,XXL,Dark Brown,61.62,44,10,2024-05-10 00:00:00
256,6,3,Jeans,GIQ-0256,XXL,Sand,63.66,50,35,2024-04-09 00:00:00
257,7,3,Hoodie,GIQ-0257,XS,Black,161.53,174,15,2023-04-05 00:00:00
258,7,3,Hoodie,GIQ-0258,XS,White,140.77,193,35,2024-01-03 00:00:00
259,7,5,Hoodie,GIQ-0259,XS,Cream,61.73,205,33,2023-06-08 00:00:00
260,7,1,Hoodie,GIQ-0260,XS,Dark Green,69.69,222,27,2023-05-07 00:00:00
261,7,1,Hoodie,GIQ-0261,XS,Blood Red,125.83,138,19,2023-05-01 00:00:00
262,7,4,Hoodie,GIQ-0262,XS,Dark Blue,82.27,197,11,2023-11-12 00:00:00
263,7,5,Hoodie,GIQ-0263,XS,Dark Brown,64.87,123,10,2023-09-06 00:00:00
264,7,1,Hoodie,GIQ-0264,XS,Sand,168.83,156,35,2023-06-16 00:00:00
265,7,2,Hoodie,GIQ-0265,S,Black,102.11,38,25,2023-12-22 00:00:00
266,7,2,Hoodie,GIQ-0266,S,White,138.53,43,13,2023-02-12 00:00:00
267,7,5,Hoodie,GIQ-0267,S,Cream,146.73,117,32,2023-08-12 00:00:00
268,7,5,Hoodie,GIQ-0268,S,Dark Green,82.8,128,26,2023-10-30 00:00:00
269,7,3,Hoodie,GIQ-0269,S,Blood Red,96.97,199,18,2023-04-11 00:00:00
270,7,4,Hoodie,GIQ-0270,S,Dark Blue,44.99,46,33,2023-10-07 00:00:00
271,7,2,Hoodie,GIQ-0271,S,Dark Brown,45.84,63,17,2023-01-22 00:00:00
272,7,5,Hoodie,GIQ-0272,S,Sand,48.29,87,27,2023-06-24 00:00:00
273,7,3,Hoodie,GIQ-0273,M,Black,103.03,237,18,2023-06-13 00:00:00
